loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
32.2601,73.34466552734375,5.94e-05,0.3048780487804878,100,,,,,,,,,,,
6.9023,2.934727668762207,0.0001194,0.6097560975609756,200,,,,,,,,,,,
4.9839,5.916758060455322,0.00017939999999999997,0.9146341463414634,300,,,,,,,,,,,
4.7331,1.6410961151123047,0.0002394,1.2195121951219512,400,,,,,,,,,,,
5.2734,2.435152292251587,0.00029939999999999996,1.524390243902439,500,,,,,,,,,,,
,,,1.524390243902439,500,5.017972469329834,1.0,0.9993436016425224,42.4858,27.444,0.871,,,,,
4.9962,5.205719947814941,0.00029682012847965735,1.8292682926829267,600,,,,,,,,,,,
5.2608,0.612069308757782,0.0002936081370449678,2.1341463414634148,700,,,,,,,,,,,
5.0113,1.5173683166503906,0.00029039614561027834,2.4390243902439024,800,,,,,,,,,,,
4.9514,0.5928691625595093,0.00028718415417558886,2.7439024390243905,900,,,,,,,,,,,
4.9854,0.7041400671005249,0.0002839721627408993,3.048780487804878,1000,,,,,,,,,,,
,,,3.048780487804878,1000,4.981143474578857,1.0,0.9993436016425224,42.3428,27.537,0.874,,,,,
4.9686,1.4788808822631836,0.0002807601713062098,3.3536585365853657,1100,,,,,,,,,,,
5.0331,0.7174039483070374,0.0002775481798715203,3.658536585365854,1200,,,,,,,,,,,
5.0038,1.7760875225067139,0.00027433618843683083,3.9634146341463414,1300,,,,,,,,,,,
4.9867,3.261903762817383,0.0002711241970021413,4.2682926829268295,1400,,,,,,,,,,,
4.9906,2.0218148231506348,0.00026791220556745177,4.573170731707317,1500,,,,,,,,,,,
,,,4.573170731707317,1500,4.974566459655762,1.0,0.9993436016425224,42.5223,27.421,0.87,,,,,
4.9958,0.6651468276977539,0.0002647002141327623,4.878048780487805,1600,,,,,,,,,,,
4.9774,2.2115094661712646,0.0002614882226980728,5.182926829268292,1700,,,,,,,,,,,
4.9719,0.43918102979660034,0.00025827623126338327,5.487804878048781,1800,,,,,,,,,,,
4.9718,1.6098549365997314,0.00025506423982869374,5.7926829268292686,1900,,,,,,,,,,,
4.998,0.7774538993835449,0.00025185224839400426,6.097560975609756,2000,,,,,,,,,,,
,,,6.097560975609756,2000,4.982203483581543,1.0,0.9993436016425224,42.2114,27.623,0.877,,,,,
4.9739,0.6606300473213196,0.0002486402569593148,6.402439024390244,2100,,,,,,,,,,,
4.9606,1.9795894622802734,0.00024542826552462525,6.7073170731707314,2200,,,,,,,,,,,
4.99,1.2455127239227295,0.00024221627408993574,7.012195121951219,2300,,,,,,,,,,,
4.993,1.855881690979004,0.00023900428265524623,7.317073170731708,2400,,,,,,,,,,,
4.9735,1.256415605545044,0.00023579229122055675,7.621951219512195,2500,,,,,,,,,,,
,,,7.621951219512195,2500,4.9728217124938965,1.0,0.9993436016425224,42.9587,27.142,0.861,,,,,
4.9816,0.7868474721908569,0.00023258029978586722,7.926829268292683,2600,,,,,,,,,,,
4.9549,0.9591053128242493,0.0002293683083511777,8.231707317073171,2700,,,,,,,,,,,
4.968,2.4248454570770264,0.0002261563169164882,8.536585365853659,2800,,,,,,,,,,,
5.0084,0.2815479636192322,0.00022294432548179867,8.841463414634147,2900,,,,,,,,,,,
4.9922,3.2624151706695557,0.0002197323340471092,9.146341463414634,3000,,,,,,,,,,,
,,,9.146341463414634,3000,4.984182357788086,1.0,0.9993436016425224,42.384,27.51,0.873,,,,,
,,,9.146341463414634,3000,,,,,,,11921.4461,26.408,0.825,9.895541831376579e+18,5.968384511311849
